ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	total_tracks
EFO:0010888	HG03565	cell_line	adult		atac	1
EFO:0010889	HG03571	cell_line	adult		atac	1
EFO:0030018	BLaER1	cell_line	unknown		chip_histone,chip_tf,rna_seq,splice_junctions,splice_site_usage	15
NTR:0000427	neurosphere	primary_cell	embryonic		chip_histone,rna_seq,splice_junctions,splice_site_usage	11
NTR:0000474	ecto neural progenitor cell	in_vitro_differentiated_cells	embryonic		dnase	1
NTR:0000491	Right ventricle myocardium inferior	tissue	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	7
NTR:0000492	Right ventricle myocardium superior	tissue	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	7
NTR:0000493	left ventricle myocardium inferior	tissue	adult		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	13
NTR:0000494	left ventricle myocardium superior	tissue	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	7
NTR:0000512	nephron progenitor cell	in_vitro_differentiated_cells	embryonic		chip_tf,dnase	2
NTR:0000521	fibroblast of skin of left biceps	primary_cell	embryonic		dnase	1
NTR:0000522	fibroblast of skin of left quadriceps	primary_cell	embryonic		dnase	1
NTR:0000523	fibroblast of skin of right quadriceps	primary_cell	embryonic		dnase	1
NTR:0000524	fibroblast of skin of scalp	primary_cell	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
NTR:0000525	fibroblast of skin of right biceps	primary_cell	embryonic		dnase	1
NTR:0000856	mesendoderm	in_vitro_differentiated_cells	embryonic		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	13
NTR:0001226	parathyroid adenoma	tissue	adult		chip_histone,chip_tf	7
NTR:0001407	germinal matrix	tissue	embryonic		chip_histone	5
NTR:0001484	islet precursor cell	in_vitro_differentiated_cells	embryonic		dnase	1
NTR:0003013	placental basal plate	tissue	embryonic		chip_histone,rna_seq,splice_junctions,splice_site_usage	6
NTR:0003079	fibroblast of breast	primary_cell	adult		chip_histone	4
UBERON:0000002	uterine cervix	tissue			cage	2
UBERON:0000007	pituitary gland	tissue	adult	Pituitary	cage,rna_seq,splice_junctions,splice_site_usage	6
UBERON:0000014	zone of skin	tissue			cage	2
UBERON:0000016	endocrine pancreas	tissue	adult		chip_histone,rna_seq,splice_junctions,splice_site_usage	10
UBERON:0000019	camera-type eye	tissue	embryonic		cage,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0000029	lymph node	tissue			cage	2
UBERON:0000056	ureter	tissue	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0000057	urethra	tissue			cage	2
UBERON:0000059	large intestine	tissue	embryonic		chip_histone,dnase,rna_seq	8
UBERON:0000081	metanephros	tissue	embryonic		rna_seq,splice_junctions,splice_site_usage	5
UBERON:0000088	trophoblast	tissue	embryonic		chip_histone,rna_seq,splice_junctions,splice_site_usage	8
UBERON:0000178	blood	primary_cell			cage	2
UBERON:0000305	amnion	tissue	embryonic		cage,chip_histone,rna_seq,splice_junctions,splice_site_usage	10
UBERON:0000310	breast	tissue			cage	2
UBERON:0000317	colonic mucosa	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	14
UBERON:0000320	duodenal mucosa	tissue	adult		chip_histone	7
UBERON:0000341	throat	tissue			cage	2
UBERON:0000458	endocervix	tissue	adult	Cervix_Endocervix	rna_seq,splice_junctions,splice_site_usage	4
UBERON:0000473	testis	tissue	adult		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	22
UBERON:0000920	egg chorion	primary_cell			cage	2
UBERON:0000941	cranial nerve II	tissue			cage	2
UBERON:0000945	stomach	tissue	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	28
UBERON:0000947	aorta	tissue	adult		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	16
UBERON:0000948	heart	tissue	adult		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	18
UBERON:0000955	brain	tissue	adult		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	14
UBERON:0000966	retina	tissue	embryonic		cage,dnase	3
UBERON:0000970	eye	tissue	embryonic		dnase	1
UBERON:0000981	femur	tissue	embryonic		dnase	1
UBERON:0000988	pons	tissue	adult		cage,dnase	3
UBERON:0000989	penis	tissue			cage	2
UBERON:0000992	ovary	tissue	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	27
UBERON:0000995	uterus	tissue	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	17
UBERON:0000996	vagina	tissue	adult		cage,chip_histone,chip_tf,rna_seq,splice_junctions,splice_site_usage	18
